City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,manacapuru,-3.2997,-60.6206,297.98,92,100,1.59,BR,1707550764
153,andapa,-14.65,49.65,299.82,89,89,1.2,MG,1707550765
154,lautoka,-17.6167,177.4667,301.07,89,75,1.54,FJ,1707550765
155,las veredas,23.1388,-109.7075,290.99,84,100,0.45,MX,1707550765
156,spring creek,40.7266,-115.5859,268.98,88,90,0.5,US,1707550765
157,stanley,54.868,-1.6985,278.02,93,100,1.54,GB,1707550765
158,whakatane,-37.9585,176.9854,294.69,93,57,1.76,NZ,1707550765
159,bamboo flat,11.7,92.7167,303.2,66,20,4.63,IN,1707550765
160,nurmes,63.5421,29.1397,262.01,95,100,1.79,FI,1707550766
161,olonkinbyen,70.9221,-8.7187,270.2,68,85,6.08,SJ,1707550766
162,zagora,30.3484,-5.8365,287.49,51,100,3.77,MA,1707550766
163,howrah,22.5892,88.3103,297.15,41,1,5.14,IN,1707550766
164,enewetak,11.3474,162.3373,299.63,80,100,10.01,MH,1707550766
165,konarka,19.9,86.1167,300.37,32,0,3.64,IN,1707550766
166,praia da vitoria,38.7333,-27.0667,288.01,100,75,6.78,PT,1707550766
167,fort bragg,35.139,-79.006,286.94,87,100,3.6,US,1707550766
168,bam,29.106,58.357,291.64,14,0,2.61,IR,1707550767
169,la grande,45.3246,-118.0877,270.92,88,42,0.99,US,1707550767
170,upper grand lagoon,30.1633,-85.7408,291.23,97,100,1.54,US,1707550767
171,gaspe,48.8334,-64.4819,270.27,93,75,1.54,CA,1707550622
172,uzgen,40.7699,73.3007,284.31,47,65,2.09,KG,1707550767
173,puerto lempira,15.2667,-83.7667,295.82,80,17,2.78,HN,1707550767
174,usogorsk,63.4106,48.6872,257.88,97,99,2.82,RU,1707550767
175,maryborough,-25.5333,152.7,301.54,69,36,4.38,AU,1707550767
176,baijiantan,45.6333,85.1833,268.8,80,89,1.73,CN,1707550768
177,santiago de cao,-7.9589,-79.2392,298.22,78,89,2.06,PE,1707550768
178,portland,45.5234,-122.6762,280.28,94,100,3.09,US,1707550768
179,shache,38.4167,77.2406,279.1,25,0,0.97,CN,1707550768
180,callao,-12.0667,-77.15,297.99,88,20,4.63,PE,1707550768
181,nema,57.5067,50.5011,256.65,96,96,2.09,RU,1707550769
182,dauphin,51.1494,-100.0502,267.23,86,100,1.03,CA,1707550769
183,necochea,-38.5473,-58.7368,293.94,96,100,4.7,AR,1707550769
184,nyurba,63.2842,118.3319,247.93,97,100,1.7,RU,1707550769
185,harstad,68.799,16.5293,269.9,94,99,8.49,NO,1707550769
186,lihue,21.9789,-159.3672,295.92,84,100,4.63,US,1707550631
187,kruisfontein,-34.0033,24.7314,295.31,49,1,7.85,ZA,1707550769
188,guasdualito,7.2424,-70.7324,296.48,95,63,1.66,VE,1707550770
189,ancud,-41.8697,-73.8203,284.42,89,100,1.2,CL,1707550770
190,shatura,55.5725,39.5368,257.49,95,98,0.43,RU,1707550770
191,mugia,43.1041,-9.2179,283.24,64,74,12.52,ES,1707550770
192,namibe,-15.1961,12.1522,297.35,80,94,1.1,AO,1707550770
193,dwarka,22.2394,68.9678,295.34,55,0,5.51,IN,1707550770
194,puerto rico,-26.796,-55.024,294.91,90,100,0.87,AR,1707550770
195,new norfolk,-42.7826,147.0587,290.87,48,0,2.64,AU,1707550771
196,touros,-5.1989,-35.4608,300.78,79,19,8.32,BR,1707550771
197,yichun,47.7,128.9,263.17,84,100,4.29,CN,1707550771
198,zahedan,29.4963,60.8629,291.1,19,0,0.0,IR,1707550771
199,smedjebacken,60.1418,15.4142,263.66,99,100,2.01,SE,1707550771
200,kerikeri,-35.2268,173.9474,292.49,93,41,1.98,NZ,1707550771
201,ar ruways,24.1103,52.7306,291.72,62,4,2.6,AE,1707550771
202,visby,57.6409,18.296,272.61,86,75,7.2,SE,1707550772
203,bayburt,40.2589,40.2278,273.89,89,12,0.5,TR,1707550772
204,thunder bay,48.4001,-89.3168,269.14,80,100,4.12,CA,1707550772
205,najran,17.4924,44.1277,293.51,32,0,5.0,SA,1707550772
206,amboasary,-25.0333,46.3833,306.96,49,0,1.93,MG,1707550772
207,puerto deseado,-47.7503,-65.8938,289.27,52,100,7.35,AR,1707550772
208,nguigmi,14.2495,13.1092,295.42,14,0,2.59,NE,1707550772
209,remire-montjoly,4.9167,-52.2667,300.17,83,75,4.12,GF,1707550773
210,lamar,33.6668,-95.5836,289.1,90,40,1.54,US,1707550773
211,christchurch,-43.5333,172.6333,286.99,84,40,5.14,NZ,1707550733
212,olonets,60.9847,32.9698,256.01,100,100,1.92,RU,1707550773
213,namdrik,5.5994,168.1028,300.36,81,100,8.76,MH,1707550773
214,akureyri,65.6835,-18.0878,265.11,79,75,1.03,IS,1707550773
215,dhuusamarreeb,5.535,46.3861,304.2,36,7,9.12,SO,1707550774
216,el granada,37.5027,-122.4694,283.67,89,0,0.0,US,1707550774
217,marcala,14.15,-88.0333,287.35,63,6,1.81,HN,1707550774
218,maloye ganyushkino,46.6,49.2667,273.76,84,100,5.38,KZ,1707550774
219,san ignacio,17.1561,-89.0714,289.23,100,0,0.0,BZ,1707550774
220,morondava,-20.2833,44.2833,302.99,71,42,3.04,MG,1707550774
221,gobabis,-22.45,18.9667,302.61,24,29,4.28,NA,1707550775
222,gizo,-8.103,156.8419,300.57,83,100,6.29,SB,1707550775
223,mount isa,-20.7333,139.5,308.02,31,75,5.14,AU,1707550775
224,qingyuan,23.7,113.0333,293.14,39,0,3.25,CN,1707550579
225,nar'yan-mar,67.6713,53.087,250.43,99,73,3.58,RU,1707550775
226,kodiak,57.79,-152.4072,275.88,75,100,0.0,US,1707550775
227,clarinda,40.7419,-95.0383,276.16,75,75,5.66,US,1707550776
228,verkh-chebula,56.0308,87.6218,273.0,78,100,7.98,RU,1707550776
229,tannum sands,-23.9504,151.3693,303.09,58,0,9.77,AU,1707550776
230,fuling,29.7022,107.3919,289.04,41,0,1.86,CN,1707550776
231,selfoss,63.9331,-20.9971,260.95,75,86,4.12,IS,1707550776
232,queenstown,-31.8976,26.8753,293.72,37,3,3.15,ZA,1707550776
233,yongchuan,29.3514,105.8947,289.63,37,0,3.38,CN,1707550776
234,parsons,37.3403,-95.2611,281.19,66,100,5.98,US,1707550777
235,talara,-4.5772,-81.2719,298.58,88,100,4.8,PE,1707550777
236,afaahiti,-17.75,-149.2833,297.08,87,100,8.91,PF,1707550777
237,howard springs,-12.497,131.047,304.1,88,14,3.65,AU,1707550777
238,nova sintra,14.8667,-24.7167,293.63,70,0,10.02,CV,1707550777
239,san antonio de pale,-1.4014,5.6325,301.77,70,27,2.18,GQ,1707550777
240,gidole,5.65,37.3667,296.4,41,22,1.88,ET,1707550778
241,aykhal,66.0,111.5,241.31,100,89,0.86,RU,1707550778
242,san luis de la loma,17.2706,-100.8939,295.58,77,39,2.05,MX,1707550778
243,dhidhdhoo,6.8833,73.1,301.16,76,100,6.19,MV,1707550778
244,tuy hoa,13.0833,109.3,297.27,84,64,7.49,VN,1707550778
245,alaghsas,17.0187,8.0168,287.09,18,0,2.57,NE,1707550778
246,east london,-33.0153,27.9116,296.67,53,20,9.77,ZA,1707550779
247,udachny,66.4167,112.4,241.73,74,83,0.88,RU,1707550779
248,juan griego,11.0817,-63.9655,305.22,66,1,6.17,VE,1707550779
249,madera,37.1666,-119.8343,279.2,91,27,1.11,US,1707550779
250,hami,42.8,93.45,277.89,42,4,3.3,CN,1707550779
251,island harbour,50.724,-1.2758,282.55,95,100,0.45,GB,1707550779
252,silverdale,47.6445,-122.6949,278.41,95,96,0.92,US,1707550590
253,cabo san lucas,22.8909,-109.9124,291.35,65,100,1.34,MX,1707550514
254,alliance,40.9153,-81.1059,284.27,92,100,7.21,US,1707550780
255,rreshen,41.7675,19.8756,280.75,55,46,1.22,AL,1707550780
256,kirensk,57.7853,108.1119,267.02,94,100,4.02,RU,1707550780
257,inarajan village,13.2736,144.7484,301.69,82,100,8.7,GU,1707550780
258,yuzhno-kurilsk,44.0306,145.8556,268.91,66,100,2.78,RU,1707550780
259,baiti,13.745,-14.7482,297.75,13,0,2.99,SN,1707550780
260,alofi,-19.0595,-169.9187,300.09,89,99,4.63,NU,1707550780
261,glace bay,46.1969,-59.957,267.57,94,0,2.24,CA,1707550781
262,georgievka,49.3314,81.5761,272.38,77,100,9.7,KZ,1707550781
263,haiku-pauwela,20.9219,-156.3051,296.51,81,40,3.09,US,1707550781
264,lillehammer,61.1146,10.4674,259.4,97,100,0.86,NO,1707550781
265,pisco,-13.7,-76.2167,297.05,94,99,4.12,PE,1707550781
266,fada,9.5667,8.3,300.17,18,96,1.05,NG,1707550781
267,vila franca do campo,37.7167,-25.4333,288.38,97,100,3.47,PT,1707550782
268,port douglas,-16.4833,145.4667,300.41,80,92,2.45,AU,1707550764
269,kununurra,-15.7667,128.7333,308.14,49,75,3.6,AU,1707550782
270,horta,38.5333,-28.6333,290.38,97,75,8.23,PT,1707550782
271,aasiaat,68.7098,-52.8699,259.47,82,100,4.36,GL,1707550782
272,poteau,35.0537,-94.6236,287.03,67,0,2.57,US,1707550782
273,okhotsk,59.3833,143.3,247.99,88,92,1.32,RU,1707550782
274,vorkuta,67.5,64.0,248.86,92,100,6.51,RU,1707550782
275,macapa,0.0389,-51.0664,300.14,89,75,3.09,BR,1707550782
276,revda,56.801,59.9303,256.42,92,100,5.6,RU,1707550783
277,ust'-kut,56.7938,105.7672,271.17,88,100,3.58,RU,1707550783
278,pangody,65.85,74.4859,257.24,95,98,6.56,RU,1707550783
279,arraial do cabo,-22.9661,-42.0278,298.39,84,58,7.26,BR,1707550753
280,novouzensk,50.4592,48.1431,266.61,80,95,1.87,RU,1707550783
281,sarmiento,-45.5882,-69.07,291.27,47,47,2.5,AR,1707550783
282,tura,25.5198,90.2201,298.69,24,0,4.06,IN,1707550783
283,hamah,35.1318,36.7578,286.63,69,0,2.58,SY,1707550784
284,banda aceh,5.5577,95.3222,304.54,58,88,3.95,ID,1707550784
285,al qusiyah,27.4402,30.8184,287.3,42,0,4.55,EG,1707550784
286,changji,44.0167,87.3167,268.59,68,41,2.0,CN,1707550784
287,kingston,17.997,-76.7936,296.68,77,20,3.09,JM,1707550721
288,maridi,4.9158,29.4742,304.26,28,76,2.66,SS,1707550784
289,ujae,8.9322,165.7642,300.02,75,82,10.43,MH,1707550784
290,gazli,40.1333,63.45,289.02,30,100,2.71,UZ,1707550785
291,las tablas,7.7667,-80.2833,296.02,99,76,5.69,PA,1707550720
292,maceio,-9.6658,-35.7353,298.84,100,40,1.54,BR,1707550785
293,kiruhura,-2.4773,29.7679,295.96,73,14,0.89,RW,1707550785
294,cascais,38.6979,-9.4215,285.96,85,20,9.83,PT,1707550785
295,itigi,-5.7,34.4833,298.27,67,83,2.28,TZ,1707550785
296,weiz,47.2167,15.6167,283.69,83,100,0.89,AT,1707550785
297,perelyub,51.8667,50.3667,259.19,94,63,2.41,RU,1707550786
298,beyla,8.6833,-8.6333,295.19,26,56,0.86,GN,1707550786
299,villa gesell,-37.2639,-56.973,295.4,98,100,5.42,AR,1707550786
300,morant bay,17.8815,-76.4093,296.94,94,14,1.85,JM,1707550786
301,anadyr,64.75,177.4833,255.43,77,0,7.0,RU,1707550786
302,corn island,12.1694,-83.0418,298.66,79,62,3.56,NI,1707550786
303,ciutadella,40.0011,3.8414,287.6,76,48,8.13,ES,1707550714
304,huarmey,-10.0681,-78.1522,297.84,81,71,3.18,PE,1707550787
